VRM,MAKE,MODEL,AGE_GROUP,BODY_TYPE,FUEL_TYPE,TRANSMISSION_TYPE,COLOUR,PRICE,MILEAGE,RETAIL_DESIRABILITY_SCORE,PASSENGERS
RE21PPX,MERCEDES-BENZ,C-CLASS,3-4 years old,saloon,DIESEL,semiAutomatic,BLACK,19600,48947,0.9247982792,5
NA72FLC,KIA,EV6,0-2 years old,suv,ELECTRIC,automatic,BLACK,23550,26216,0.6502423891,8
CU68KPR,MAZDA,CX-5,5-6 years old,suv,DIESEL,manual,RED,12650,65632,0.4169215452,8
SB72JZX,VOLKSWAGEN,TAIGO,0-2 years old,suv,PETROL,manual,WHITE,15600,48117,0.4225635627,8
GX22URF,HONDA,HR-V,3-4 years old,suv,PETROLELECTRICHYBRID,automatic,RED,20170,33955,0.3900154541,8
SA68LFF,VAUXHALL,CROSSLAND X,5-6 years old,suv,PETROL,manual,WHITE,9450,38082,0.3767356868,8
GU71SMV,BMW,2 SERIES GRAN COUPE,3-4 years old,saloon,PETROL,semiAutomatic,BLACK,16600,77970,0.7521703275,5
VN22CNC,VOLKSWAGEN,ID.3,3-4 years old,hatchback,ELECTRIC,automatic,BLUE,12150,67971,0.8075787482,5
MT18GHX,MERCEDES-BENZ,C-CLASS,7-8 years old,saloon,PETROLPLUGINELECTRICHYBRID,semiAutomatic,BLUE,15000,48351,0.3402085116,5
PN71OCA,VOLKSWAGEN,PASSAT,3-4 years old,estate,PETROLPLUGINELECTRICHYBRID,semiAutomatic,BLACK,18100,38826,0.9241313152,7
WX68HPP,FIAT,500X,5-6 years old,suv,PETROL,manual,RED,11050,22671,0.6364889204,8
WG69XNN,NISSAN,JUKE,5-6 years old,suv,PETROL,manual,GREY,12300,44189,0.5305845033,8
LG23KDV,MG,ZS EV,0-2 years old,suv,ELECTRIC,automatic,RED,15500,23033,0.6719696774,8
KT21VOJ,AUDI,A4,3-4 years old,saloon,DIESEL,semiAutomatic,BLACK,18950,68093,0.6062106403,5
DL70ZCZ,VAUXHALL,CORSA,3-4 years old,hatchback,PETROL,manual,BLUE,10350,32032,0.782442271,5
NA67EFT,FORD,KUGA,7-8 years old,suv,DIESEL,manual,BLACK,9380,70204,0.6874818408,8
KV69GMU,PEUGEOT,208,5-6 years old,hatchback,PETROL,manual,WHITE,8600,36102,0.7821582371,5
MH68LWK,TOYOTA,AYGO,5-6 years old,hatchback,PETROL,manual,RED,8700,36275,0.6334621188,5
DS23FEH,HYUNDAI,TUCSON,0-2 years old,suv,PETROL,semiAutomatic,GREY,20900,13346,0.6702014613,8
MJ21OFZ,BMW,1 SERIES,3-4 years old,hatchback,DIESEL,manual,BLUE,16670,57533,0.7381958215,5
CN23ZJZ,MG,MG5,0-2 years old,estate,ELECTRIC,automatic,SILVER,12450,29498,0.6481749981,7
DN22XMG,NISSAN,JUKE,3-4 years old,suv,PETROL,manual,RED,15700,17891,0.5820739463,8
RO21SLU,VOLKSWAGEN,T-ROC,3-4 years old,suv,PETROL,semiAutomatic,BLACK,22250,17864,0.7672516598,8
AV71USX,DS,DS 3 CROSSBACK,3-4 years old,suv,ELECTRIC,automatic,BLACK,11950,22808,0.9220351064,8
YG19ZOJ,FORD,ECOSPORT,5-6 years old,suv,PETROL,manual,BLUE,10350,29860,0.6459626073,8
WP69MVR,VAUXHALL,CORSA,5-6 years old,hatchback,PETROL,manual,ORANGE,9800,51983,0.6659106134,5
HN69APK,RENAULT,CAPTUR,5-6 years old,suv,PETROL,manual,GREY,7950,63920,0.6774033854,8
CN21YSU,MERCEDES-BENZ,C-CLASS,3-4 years old,saloon,PETROLPLUGINELECTRICHYBRID,semiAutomatic,SILVER,19150,55963,0.7399818346,5
NJ22KKX,KIA,EV6,3-4 years old,suv,ELECTRIC,automatic,WHITE,19100,49116,0.6582979616,8
FP23AAZ,BMW,2 SERIES ACTIVE TOURER,0-2 years old,hatchback,PETROLPLUGINELECTRICHYBRID,automatic,GREY,23500,25198,0.1829830968,5
DS22OOV,KIA,PROCEED,3-4 years old,estate,PETROL,manual,WHITE,17600,17441,0.7088062723,7
LE19XYH,BMW,X2,5-6 years old,suv,PETROL,semiAutomatic,BLACK,18050,27778,0.6858575951,8
DT68EHE,VAUXHALL,MOKKA X,5-6 years old,suv,PETROL,manual,BLACK,9600,38184,0.7248686313,8
WM67XRW,MITSUBISHI,ECLIPSE CROSS,7-8 years old,suv,PETROL,manual,GREY,10450,43902,0.6420019764,8
CV22WKC,FORD,PUMA,3-4 years old,suv,PETROL,manual,BLACK,16800,24111,0.5222921945,8
KL68BHE,AUDI,Q2,5-6 years old,suv,DIESEL,semiAutomatic,BLACK,15600,28706,0.806876136,8
WV68VWU,KIA,SPORTAGE,5-6 years old,suv,DIESEL,manual,BLACK,10250,50118,0.5528702893,8
WN72ZFZ,VOLKSWAGEN,ID.4,0-2 years old,suv,ELECTRIC,automatic,GREY,17850,33205,0.7671850243,8
VF19HYX,VOLKSWAGEN,GOLF,5-6 years old,hatchback,PETROL,semiAutomatic,GREY,20400,47348,0.7621658393,5
LK68VGP,MAZDA,MAZDA6,5-6 years old,saloon,PETROL,manual,WHITE,13780,42283,0.717510959,5
KP73FJN,VAUXHALL,MOKKA-E,0-2 years old,suv,ELECTRIC,automatic,BLACK,13800,22185,0.5779513915,8
DE70LBO,VAUXHALL,CROSSLAND X,3-4 years old,suv,PETROL,semiAutomatic,ORANGE,11700,30345,0.7257202967,8
BT21XOZ,HYUNDAI,IONIQ,3-4 years old,hatchback,ELECTRIC,automatic,BLUE,9600,70527,0.5568975715,5
OE21FDU,VAUXHALL,GRANDLAND X,3-4 years old,suv,PETROL,manual,WHITE,13400,38843,0.686542718,8
KS69DNU,PEUGEOT,208,5-6 years old,hatchback,PETROL,manual,BLUE,8000,51919,0.7821582371,5
CK70YVM,AUDI,A3,3-4 years old,hatchback,PETROL,manual,BLACK,21650,23709,0.7511427353,5
MA22WUV,FORD,KUGA,3-4 years old,suv,DIESEL,semiAutomatic,BLACK,18410,54868,0.7789910867,8
MV70ZXF,AUDI,Q2,3-4 years old,suv,PETROL,semiAutomatic,GREY,22410,23570,0.6552463872,8
SD69YNF,DACIA,DUSTER,5-6 years old,suv,PETROL,manual,WHITE,8500,33230,0.6671292594,8
VA21XVW,VAUXHALL,CORSA-E,3-4 years old,hatchback,ELECTRIC,automatic,WHITE,10650,22704,0.8840726497,5
YK67ECG,BMW,X1,7-8 years old,suv,PETROL,semiAutomatic,SILVER,17780,26581,0.6146828032,8
VE70TKK,VAUXHALL,CROSSLAND X,3-4 years old,suv,PETROL,manual,GREY,10250,25302,0.6448362169,8
KV70HNT,PEUGEOT,108,3-4 years old,hatchback,PETROL,manual,RED,9350,15705,0.7234324014,5
MA72UFB,VOLKSWAGEN,POLO,0-2 years old,hatchback,PETROL,manual,GREY,16050,19099,0.480142211,5
KL18NDO,VOLVO,V40,7-8 years old,hatchback,DIESEL,manual,BLUE,10050,63719,0.5974396964,5
PN18LUH,PEUGEOT,108,7-8 years old,hatchback,PETROL,manual,BLACK,6900,40459,0.3749268196,5
MH19RZO,FORD,FOCUS,5-6 years old,hatchback,DIESEL,manual,BLACK,12200,17871,0.8224077442,5
HK22KAU,VOLKSWAGEN,GOLF,3-4 years old,hatchback,PETROL,semiAutomatic,BLACK,21250,27640,0.7630685448,5
PY18MWN,SUZUKI,IGNIS,5-6 years old,suv,PETROL,manual,WHITE,9400,28543,0.7025731597,8
DS71JSX,HYUNDAI,TUCSON,3-4 years old,suv,PETROL,semiAutomatic,BLUE,22300,22777,0.4434333168,8
CJ71JJY,CITROEN,C3,3-4 years old,hatchback,PETROL,manual,GREY,10400,23273,0.7580797784,5
YL67FKJ,SKODA,CITIGO,7-8 years old,hatchback,PETROL,manual,RED,5900,59942,0.5968226023,5
AV22HUA,DS,DS 3 CROSSBACK,3-4 years old,suv,ELECTRIC,automatic,GREY,11300,35067,0.9220351064,8
PK21SJU,BMW,X3,3-4 years old,suv,PETROLPLUGINELECTRICHYBRID,semiAutomatic,GREY,20180,72840,0.7681389423,8
YE21ULA,SEAT,ARONA,3-4 years old,suv,PETROL,manual,GREY,12500,28470,0.8268445213,8
HY22OPF,NISSAN,QASHQAI,3-4 years old,suv,PETROL,semiAutomatic,BLUE,18750,15418,0.7510294679,8
LG22ZRD,DS,DS 3 CROSSBACK,3-4 years old,suv,ELECTRIC,automatic,BLUE,11450,27766,0.9669128132,8
BF21KNZ,SKODA,KAMIQ,3-4 years old,suv,PETROL,manual,BLUE,10500,63773,0.849756255,8
VA71JYF,VAUXHALL,CORSA,3-4 years old,hatchback,PETROL,manual,RED,10470,26587,0.8135150837,5
YE20OFT,MERCEDES-BENZ,B-CLASS,5-6 years old,hatchback,PETROL,semiAutomatic,WHITE,16150,47581,0.3663628264,5
YM67ORZ,MAZDA,MX-5 RF,7-8 years old,convertible,PETROL,manual,WHITE,14650,44639,0.686423676,4
BG22MXB,KIA,E-NIRO,3-4 years old,suv,ELECTRIC,automatic,BLUE,13500,25718,0.5872983867,8
DA21FTC,VOLVO,XC40,3-4 years old,suv,PETROLPLUGINELECTRICHYBRID,semiAutomatic,BLACK,18900,79387,0.7728790919,8
FM68ORT,VOLVO,XC40,5-6 years old,suv,PETROL,semiAutomatic,WHITE,22350,30787,0.6181305982,8
KN22XKU,FORD,ECOSPORT,3-4 years old,suv,PETROL,manual,BLUE,13400,23332,0.5343984288,8
OE70OUM,POLESTAR,2,3-4 years old,hatchback,ELECTRIC,automatic,BLACK,19000,71471,0.673843921,5
EP19VKN,VAUXHALL,VIVA,5-6 years old,hatchback,PETROL,manual,RED,5700,63701,0.7138940173,5
NG19FEU,BMW,1 SERIES,5-6 years old,hatchback,PETROL,semiAutomatic,GREY,18400,72620,0.7882539504,5
FP18OXC,HONDA,CIVIC,7-8 years old,hatchback,PETROL,automatic,GREY,10760,60255,0.7921667612,5
HT72JJL,FORD,PUMA,0-2 years old,suv,PETROL,manual,BLUE,16500,33491,0.6526485189,8
KE19XCZ,MINI,HATCHBACK,5-6 years old,hatchback,PETROL,manual,GREY,11950,26166,0.7706377444,5
FE69UUA,HONDA,JAZZ,5-6 years old,hatchback,PETROL,automatic,RED,11900,26785,0.502007096,5
DG73FFM,SEAT,ATECA,0-2 years old,suv,PETROL,manual,GREY,20500,10927,0.6991191212,8
BD21JXJ,VAUXHALL,CORSA,3-4 years old,hatchback,PETROL,manual,WHITE,10270,41599,0.7160218683,5
YM71LHK,VOLVO,XC40,3-4 years old,suv,PETROL,semiAutomatic,BLACK,24960,32792,0.7489633359,8
YF23FBO,MG,MG3,0-2 years old,hatchback,PETROL,manual,YELLOW,10850,10567,0.8115080544,5
VN22YAA,VAUXHALL,CORSA,3-4 years old,hatchback,PETROL,manual,BLACK,13050,26569,0.7072068723,5
WP69VDY,ALFA ROMEO,GIULIA,5-6 years old,saloon,PETROL,semiAutomatic,BLUE,20650,47444,0.536415499,5
PX71XCR,CUPRA,FORMENTOR,3-4 years old,suv,PETROL,semiAutomatic,RED,18050,37306,0.8527446768,8
EF71GVX,FORD,KUGA,3-4 years old,suv,DIESEL,semiAutomatic,BLACK,18600,24283,0.7608745204,8
MD19XDJ,LAND ROVER,RANGE ROVER SPORT,5-6 years old,suv,DIESEL,semiAutomatic,BLACK,29400,49753,0.4927848507,8
SD69FTE,RENAULT,CAPTUR,5-6 years old,suv,PETROL,manual,GREY,9650,33578,0.4312015197,8
RE72WVM,AUDI,Q2,0-2 years old,suv,PETROL,manual,GREY,23250,19644,0.7186265852,8
GU22WHV,SEAT,IBIZA,3-4 years old,hatchback,PETROL,manual,BLUE,15170,10490,0.5930026439,5
YY71EHJ,JAGUAR,I-PACE,3-4 years old,suv,ELECTRIC,automatic,SILVER,18900,40762,0.7626722135,8
CK19XKP,SEAT,ARONA,5-6 years old,suv,PETROL,manual,BLUE,12150,52275,0.3149923471,8
SX19HTK,DACIA,DUSTER,5-6 years old,suv,PETROL,manual,WHITE,10400,42800,0.7762627789,8
GX22RMU,MERCEDES-BENZ,CLA,3-4 years old,coupe,PETROL,semiAutomatic,BLUE,22500,60116,0.940422595,4
SA22HKU,PEUGEOT,3008,3-4 years old,suv,DIESEL,semiAutomatic,BLUE,17890,47189,0.7929704162,8
MM21HTK,SKODA,KAROQ,3-4 years old,suv,PETROL,automatic,BLACK,21050,27035,0.7692253029,8
YH21FLR,RENAULT,CAPTUR,3-4 years old,suv,PETROL,semiAutomatic,BLUE,15560,13687,0.5487033977,8
CN73ZDJ,MG,ZS EV,0-2 years old,suv,ELECTRIC,automatic,BLACK,15900,17240,0.6719696774,8
DE69FOF,HYUNDAI,TUCSON,5-6 years old,suv,PETROL,manual,BLACK,13800,27996,0.7231668933,8
KW19UKN,MINI,HATCHBACK,5-6 years old,hatchback,PETROL,manual,SILVER,10320,44000,0.6846141619,5
PN22SRY,SEAT,TARRACO,3-4 years old,suv,DIESEL,automatic,GREY,20400,64534,0.5977747089,8
KR19WWC,AUDI,A1,5-6 years old,hatchback,PETROL,manual,BLACK,14650,29941,0.6386039068,5
EX67BNJ,HYUNDAI,TUCSON,7-8 years old,suv,PETROL,manual,GREY,10000,61070,0.804367132,8
PN68YYB,SEAT,ARONA,5-6 years old,suv,PETROL,manual,SILVER,11050,35524,0.7867568238,8
VA21LXC,VAUXHALL,CORSA,3-4 years old,hatchback,PETROL,manual,GREY,9300,50322,0.7450422855,5
ET17AZZ,FIAT,500,7-8 years old,hatchback,PETROL,manual,RED,7250,20000,0.6629947694,5
GF22UBZ,DACIA,SANDERO STEPWAY,3-4 years old,hatchback,PETROL,manual,GREY,11880,14060,0.5911685495,5
VN22KXK,VAUXHALL,CORSA-E,3-4 years old,hatchback,ELECTRIC,automatic,BLUE,11500,33060,0.7385442986,5
VA23CWW,HYUNDAI,I20,0-2 years old,hatchback,PETROL,manual,BLUE,13700,15851,0.5214306897,5
EA22FRF,HYUNDAI,KONA,3-4 years old,suv,PETROL,manual,GREY,15000,23853,0.5253258003,8
SB69NWV,RENAULT,CAPTUR,5-6 years old,suv,PETROL,manual,ORANGE,9500,34698,0.6774033854,8
AP21BCK,BMW,2 SERIES GRAN COUPE,3-4 years old,saloon,PETROL,manual,WHITE,16950,48515,0.7787307211,5
BT68XGN,AUDI,Q2,5-6 years old,suv,PETROL,manual,WHITE,12550,59805,0.6965979423,8
HN70WXE,BMW,5 SERIES,3-4 years old,saloon,DIESEL,semiAutomatic,BLACK,23250,24421,0.8221677605,5
MH21BDZ,HONDA,CIVIC,3-4 years old,hatchback,PETROL,manual,RED,15700,45543,0.7909045651,5
BX70ZFJ,MINI,HATCHBACK,3-4 years old,hatchback,PETROL,manual,WHITE,16450,18935,0.5435738215,5
BD69YRY,SEAT,LEON,5-6 years old,hatchback,PETROL,manual,SILVER,10750,52066,0.8414145019,5
FL22TTU,KIA,XCEED,3-4 years old,hatchback,PETROL,manual,BLACK,15110,29521,0.7382612584,5
YB21ONJ,SKODA,OCTAVIA,3-4 years old,suv,PETROL,manual,WHITE,12150,65938,0.8044889784,8
LS20DWC,LEXUS,NX,5-6 years old,suv,PETROLELECTRICHYBRID,automatic,GREY,24010,40560,0.5157128474,8
LX72ZGU,VAUXHALL,MOKKA-E,0-2 years old,suv,ELECTRIC,automatic,BLACK,13150,27080,0.6282466198,8
DE22JVD,JAGUAR,I-PACE,3-4 years old,suv,ELECTRIC,automatic,BLACK,19400,68742,0.7460899293,8
GK22JNU,HYUNDAI,TUCSON,3-4 years old,suv,PETROL,manual,WHITE,17400,28765,0.6768552323,8
DC21ZZE,SEAT,ATECA,3-4 years old,suv,PETROL,manual,WHITE,15600,26944,0.7262711908,8
WK71KPG,TOYOTA,YARIS,3-4 years old,hatchback,PETROLELECTRICHYBRID,automatic,WHITE,13100,53483,0.6770300573,5
HJ20XNE,AUDI,A1,5-6 years old,hatchback,PETROL,semiAutomatic,BLACK,15240,54622,0.5706567384,5
SE70DYU,KIA,SPORTAGE,3-4 years old,suv,PETROL,manual,GREY,17000,28235,0.7465960213,8
FL21ZCJ,HONDA,JAZZ,3-4 years old,hatchback,PETROLELECTRICHYBRID,automatic,WHITE,15650,22099,0.4647620998,5
SB21TUP,AUDI,Q2,3-4 years old,suv,PETROL,manual,BLACK,15050,35195,0.8401354688,8
GL70FOA,JAGUAR,I-PACE,3-4 years old,suv,ELECTRIC,automatic,RED,18600,21656,0.7626722135,8
WR72TSZ,DACIA,SANDERO,0-2 years old,hatchback,PETROL,manual,RED,10570,17984,0.6781155582,5
LT20HBL,TOYOTA,C-HR,5-6 years old,suv,PETROLELECTRICHYBRID,automatic,GREY,17900,20814,0.6514316148,8
RK21VTO,KIA,SPORTAGE,3-4 years old,suv,DIESEL,manual,BLACK,12950,58987,0.8806928511,8
GL21RYX,VOLKSWAGEN,GOLF,3-4 years old,hatchback,PETROLPLUGINELECTRICHYBRID,semiAutomatic,SILVER,18400,35947,0.8603212192,5
VE22KZA,AUDI,A1,3-4 years old,hatchback,PETROL,manual,WHITE,16750,17668,0.8330010305,5
K123RAL,FORD,KUGA VIGNALE,5-6 years old,suv,DIESEL,semiAutomatic,GREY,17200,38111,0.5960638292,8
ML21HVZ,FORD,KUGA,3-4 years old,suv,PETROLPLUGINELECTRICHYBRID,automatic,BLUE,13870,79844,0.5797603683,8
RO20WHA,MERCEDES-BENZ,GLC COUPE,5-6 years old,suv,DIESEL,semiAutomatic,BLUE,27150,41348,0.5425696903,8
LL70MVN,TOYOTA,RAV4,3-4 years old,suv,PETROLELECTRICHYBRID,automatic,SILVER,24890,36436,0.7843003314,8
PE20OOV,BMW,1 SERIES,5-6 years old,hatchback,PETROL,manual,WHITE,18200,23927,0.8265918319,5
SW19RSO,FORD,FIESTA,5-6 years old,hatchback,PETROL,manual,GREY,8500,59776,0.7263704508,5
DA71UTK,CUPRA,FORMENTOR,3-4 years old,suv,PETROL,semiAutomatic,GREY,22900,15117,0.8963077822,8
ST71XKW,KIA,SPORTAGE,3-4 years old,suv,DIESEL,automatic,BLUE,18200,39464,0.8752800179,8
RJ71NNB,VOLKSWAGEN,TOURAN,3-4 years old,mpv,DIESEL,semiAutomatic,WHITE,23440,54005,0.5310665462,8
CK22TXD,LEXUS,ES,3-4 years old,saloon,PETROLELECTRICHYBRID,automatic,WHITE,27730,26720,0.1400300488,5
ML23XXO,DACIA,SANDERO STEPWAY,0-2 years old,hatchback,PETROL,manual,GREEN,14050,7463,0.4787665461,5
ST70PKK,LAND ROVER,RANGE ROVER EVOQUE,3-4 years old,suv,DIESEL,manual,WHITE,18800,31896,0.8760384768,8
FP22RNZ,KIA,SPORTAGE,3-4 years old,suv,PETROLELECTRICHYBRID,automatic,RED,23450,17745,0.8344546325,8
WB19NYS,VAUXHALL,CORSA,5-6 years old,hatchback,PETROL,manual,RED,9200,25935,0.6152724434,5
NL18YNY,RENAULT,CAPTUR,7-8 years old,suv,PETROL,manual,BLACK,7200,77108,0.5728258999,8
YR68DVA,FORD,FIESTA,5-6 years old,hatchback,PETROL,manual,GREY,9200,29069,0.7235787515,5
HK19XGD,RENAULT,CAPTUR,5-6 years old,suv,DIESEL,manual,RED,8150,71528,0.6582711636,8
BR19LBE,PEUGEOT,208,5-6 years old,hatchback,PETROL,manual,BLACK,9370,21252,0.7821582371,5
WP19FMY,FIAT,500,5-6 years old,hatchback,PETROL,manual,RED,7400,39088,0.7296316775,5
MD72WKT,RENAULT,ZOE,0-2 years old,hatchback,ELECTRIC,automatic,WHITE,11400,12629,0.7154847368,5
OV21KPX,BMW,X3,3-4 years old,suv,PETROLPLUGINELECTRICHYBRID,semiAutomatic,GREY,23350,67982,0.7904720151,8
FL71KBV,NISSAN,JUKE,3-4 years old,suv,PETROL,manual,BLACK,13390,38310,0.5820739463,8
MT21KKR,PEUGEOT,208,3-4 years old,hatchback,PETROL,manual,WHITE,14200,19412,0.7577618165,5
CA16GHJ,FORD,FIESTA,9+ years old,hatchback,PETROL,manual,GREY,8000,43497,0.6143524168,5
FG20OCW,RENAULT,CAPTUR,5-6 years old,suv,PETROL,manual,GREY,12150,21965,0.6662242703,8
YR18TVD,FORD,FOCUS,7-8 years old,hatchback,PETROL,manual,BLACK,7900,73947,0.6768995572,5
SV69UOS,NISSAN,QASHQAI,5-6 years old,suv,DIESEL,semiAutomatic,BRONZE,14700,46968,0.5493347052,8
WL71KNP,KIA,PICANTO,3-4 years old,hatchback,PETROL,automatic,BLUE,11150,23862,0.8408121187,5
VX22SVU,SUZUKI,VITARA,3-4 years old,suv,PETROLELECTRICHYBRID,semiAutomatic,GREY,16390,17883,0.62697315,8
DG21MHX,KIA,RIO,3-4 years old,hatchback,PETROL,manual,GREY,12000,24320,0.6196917697,5
OV20WYB,SKODA,KAROQ,5-6 years old,suv,PETROL,manual,BLACK,17600,35977,0.2288450849,8
LL69YHO,MAZDA,CX-5,5-6 years old,suv,PETROL,manual,BLACK,18450,26246,0.184754162,8
NU20FWG,PEUGEOT,3008,5-6 years old,suv,PETROL,semiAutomatic,RED,16100,18082,0.7693951684,8
YP20GGK,FORD,FIESTA,5-6 years old,hatchback,PETROL,manual,BLUE,12500,15976,0.7065676714,5
FL22YCR,VAUXHALL,CORSA,3-4 years old,hatchback,PETROL,manual,WHITE,11150,20196,0.8135150837,5
HT69GZK,RENAULT,CLIO,5-6 years old,hatchback,PETROL,manual,BLACK,11200,18945,0.7004193445,5
PN72TMU,KIA,STONIC,0-2 years old,suv,PETROL,automatic,BLACK,16900,10874,0.7030497096,8
YF20HBK,BMW,X1,5-6 years old,suv,DIESEL,semiAutomatic,WHITE,20400,38800,0.8543611753,8
SA22VTZ,VAUXHALL,CROSSLAND,3-4 years old,suv,PETROL,manual,GREY,13550,22772,0.4764991386,8
LD20UAV,MINI,HATCHBACK,5-6 years old,hatchback,PETROL,manual,BLACK,14500,37872,0.8789651561,5
RJ72PWL,BMW,1 SERIES,0-2 years old,hatchback,DIESEL,manual,BLACK,16400,35419,0.681226696,5
ND21HZM,TOYOTA,COROLLA TOURING SPORT,3-4 years old,estate,PETROLELECTRICHYBRID,automatic,WHITE,15890,75207,0.6424334761,7
YS22VJV,FORD,KUGA,3-4 years old,suv,PETROL,manual,BLACK,20200,26230,0.7054369592,8
DG70JSX,VOLKSWAGEN,TIGUAN,3-4 years old,suv,DIESEL,semiAutomatic,WHITE,21050,47069,0.6724198399,8
KP21HHN,AUDI,A3,3-4 years old,saloon,PETROL,semiAutomatic,GREY,20800,14385,0.6830894499,5
WL68GCK,HONDA,HR-V,5-6 years old,suv,PETROL,automatic,BLUE,16580,22436,0.6005846675,8
KR19GBF,VOLKSWAGEN,GOLF,5-6 years old,hatchback,DIESEL,semiAutomatic,WHITE,15900,41015,0.6811047008,5
PO68TKE,FORD,ECOSPORT,5-6 years old,suv,PETROL,manual,BLACK,9950,42975,0.5868002265,8
MT21HJJ,PEUGEOT,3008,3-4 years old,suv,PETROL,manual,GREY,14790,31579,0.7533564598,8
KR68GAX,MERCEDES-BENZ,A-CLASS,5-6 years old,hatchback,DIESEL,semiAutomatic,GREY,15200,45543,0.6617911403,5
OE71DFO,VOLKSWAGEN,GOLF,3-4 years old,hatchback,PETROL,manual,GREY,18500,36064,0.7915427755,5
DK74XGA,AUDI,A1,0-2 years old,hatchback,PETROL,semiAutomatic,WHITE,22400,19296,0.6860756432,5
FY18XMJ,MERCEDES-BENZ,A-CLASS,7-8 years old,hatchback,PETROL,semiAutomatic,SILVER,17400,34136,0.4207523459,5
YP21KDZ,LAND ROVER,DISCOVERY SPORT,3-4 years old,suv,PETROLPLUGINELECTRICHYBRID,automatic,SILVER,21350,60616,0.8063527307,8
MA72UNJ,CITROEN,C4,0-2 years old,hatchback,PETROL,manual,GREY,12850,41871,0.4278043635,5
YN22YFC,LAND ROVER,RANGE ROVER VELAR,3-4 years old,suv,DIESEL,automatic,SILVER,32670,30461,0.665798012,8
KT19LLC,VOLKSWAGEN,ARTEON,5-6 years old,hatchback,DIESEL,semiAutomatic,SILVER,18890,33394,0.3252632997,5
LD20OCJ,MINI,HATCHBACK,5-6 years old,hatchback,PETROL,manual,SILVER,12350,43559,0.7973201687,5
FL21CCV,JAGUAR,XE,3-4 years old,saloon,DIESEL,automatic,BLACK,13700,79897,0.5995823897,5
SD22FOA,MERCEDES-BENZ,B-CLASS,3-4 years old,hatchback,DIESEL,semiAutomatic,BLACK,15900,53313,0.5423009539,5
ML70ZNG,FORD,FIESTA,3-4 years old,hatchback,PETROL,manual,WHITE,12660,22759,0.5106288767,5
VO21ZSP,VAUXHALL,CORSA,3-4 years old,hatchback,PETROL,manual,BLUE,11900,34986,0.5697411791,5
EA68OLP,HYUNDAI,I10,5-6 years old,hatchback,PETROL,manual,BLACK,9450,9425,0.773618176,5
LN69UEZ,JAGUAR,F-TYPE,5-6 years old,coupe,PETROL,manual,GREY,34150,20891,0.4708390437,4
LM71TTO,PEUGEOT,208,3-4 years old,hatchback,PETROL,manual,BLUE,14050,6465,0.5780245855,5
MD21ZFV,KIA,STONIC,3-4 years old,suv,PETROL,manual,RED,14590,7057,0.5759311047,8
CA22GXF,CITROEN,E-C4,3-4 years old,hatchback,ELECTRIC,automatic,WHITE,10600,48014,0.7951165891,5
KM20FHH,VOLKSWAGEN,GOLF,3-4 years old,hatchback,PETROL,semiAutomatic,WHITE,17250,46371,0.6152718795,5
WK70SJU,SUZUKI,IGNIS,3-4 years old,suv,PETROL,automatic,BLUE,12990,16118,0.6041229048,8
KU18GMV,SKODA,OCTAVIA,7-8 years old,estate,DIESEL,manual,WHITE,17200,51471,0.4459686581,7
RE20LHT,MINI,COUNTRYMAN,3-4 years old,suv,PETROL,semiAutomatic,GREY,17900,56766,0.7663294718,8
VA21GLV,AUDI,A3,3-4 years old,hatchback,PETROLPLUGINELECTRICHYBRID,semiAutomatic,BLACK,18150,24735,0.7859101408,5
ND18OWU,RENAULT,CLIO,7-8 years old,hatchback,PETROL,manual,BLACK,8900,36759,0.7332459175,5
YS69GWP,TOYOTA,YARIS,5-6 years old,hatchback,PETROLELECTRICHYBRID,automatic,RED,12200,34562,0.7389302461,5
BP71KKC,PEUGEOT,2008,3-4 years old,suv,PETROL,semiAutomatic,RED,17650,19438,0.7474551951,8
FH21ZJN,BMW,2 SERIES,3-4 years old,coupe,PETROL,semiAutomatic,BLACK,18050,21163,0.7876565793,4
BP70BTV,SEAT,IBIZA,3-4 years old,hatchback,PETROL,manual,RED,14400,21236,0.690126348,5
EA22RXX,BMW,I3,3-4 years old,hatchback,ELECTRIC,automatic,BLACK,15700,13384,0.5560967655,5
YY20YPN,SEAT,IBIZA,5-6 years old,hatchback,PETROL,manual,BLUE,13900,19784,0.7788769782,5
YH21BFA,SKODA,FABIA,3-4 years old,estate,PETROL,semiAutomatic,WHITE,14450,29408,0.6615158917,7
YC20UTN,VOLKSWAGEN,GOLF,5-6 years old,hatchback,DIESEL,semiAutomatic,RED,16150,38674,0.7553821602,5
LG18MDU,KIA,SPORTAGE,7-8 years old,suv,DIESEL,automatic,SILVER,14700,38572,0.7132412301,8
VK19YNM,TOYOTA,COROLLA,5-6 years old,hatchback,PETROLELECTRICHYBRID,automatic,WHITE,13700,43173,0.7874592835,5
DC19NNX,AUDI,A1,5-6 years old,hatchback,PETROL,semiAutomatic,BLUE,14900,62631,0.5279889012,5
WJ72OMZ,VOLKSWAGEN,GOLF,0-2 years old,hatchback,PETROL,manual,GREY,17100,21353,0.6943525292,5
KO73ULV,HYUNDAI,TUCSON,0-2 years old,suv,PETROLELECTRICHYBRID,semiAutomatic,GREY,24390,24529,0.5696973779,8
ET17LXP,MERCEDES-BENZ,SLC,7-8 years old,convertible,DIESEL,semiAutomatic,GREY,15540,31891,0.4340767167,4
