VRM,MAKE,MODEL,AGE_GROUP,BODY_TYPE,FUEL_TYPE,TRANSMISSION_TYPE,COLOUR,PRICE,MILEAGE,RETAIL_DESIRABILITY_SCORE,PASSENGERS
MW23XZT,SKODA,KAMIQ,0-2 years old,suv,PETROL,semiAutomatic,GREY,17200,35932,0.2956054072,8
KX22ORN,ABARTH,595,3-4 years old,hatchback,PETROL,manual,BLACK,12050,51601,0.8752878377,5
KP18CAO,AUDI,A3,7-8 years old,saloon,PETROL,semiAutomatic,WHITE,15600,51532,0.6297892804,5
AJ21CXZ,VOLKSWAGEN,POLO,3-4 years old,hatchback,PETROL,manual,ORANGE,13950,16789,0.8941247425,5
NV72EPF,SEAT,IBIZA,0-2 years old,hatchback,PETROL,manual,RED,13950,24451,0.6358117437,5
WD22BUP,DACIA,SANDERO,3-4 years old,hatchback,PETROL,manual,WHITE,9850,22602,0.8756052077,5
BU72USE,MERCEDES-BENZ,C-CLASS,0-2 years old,saloon,PETROLPLUGINELECTRICHYBRID,semiAutomatic,BLUE,28850,24732,0.1807889249,5
VN69OYB,VOLKSWAGEN,T-CROSS,5-6 years old,suv,PETROL,manual,BLUE,12900,46736,0.704064928,8
HG21BYW,AUDI,A6,3-4 years old,saloon,PETROL,semiAutomatic,BLACK,20010,20284,0.8216475846,5
SC22WSN,CITROEN,C4,3-4 years old,hatchback,PETROL,manual,BLUE,14100,26259,0.6525829806,5
RJ72OFG,VOLKSWAGEN,ARTEON,0-2 years old,estate,PETROL,semiAutomatic,GREY,24650,31435,0.520728066,7
HG68XWA,SKODA,KAROQ,5-6 years old,suv,PETROL,automatic,GREY,15600,40694,0.6859159253,8
FY20VRP,TOYOTA,AYGO,5-6 years old,hatchback,PETROL,manual,GREY,9050,40983,0.6334621188,5
BW70COA,NISSAN,QASHQAI,3-4 years old,suv,PETROL,semiAutomatic,BLACK,16850,23946,0.6135231126,8
BV70NWT,AUDI,Q2,3-4 years old,suv,PETROL,manual,WHITE,18840,23218,0.6088350725,8
HJ22RZZ,BMW,2 SERIES ACTIVE TOURER,3-4 years old,hatchback,DIESEL,semiAutomatic,BLUE,20350,25050,0.4563928138,5
GF22LWO,NISSAN,QASHQAI,3-4 years old,suv,PETROL,manual,BLUE,18500,36554,0.5616196685,8
LF68FLR,FORD,FIESTA,5-6 years old,hatchback,PETROL,manual,BLUE,10550,13014,0.5885436695,5
HK21RZD,MINI,COUNTRYMAN,3-4 years old,suv,PETROL,semiAutomatic,BLUE,21550,20693,0.7072306316,8
T6MVX,VOLKSWAGEN,GOLF,7-8 years old,hatchback,DIESEL,semiAutomatic,WHITE,11200,78577,0.6254865069,5
SG21ZSK,TOYOTA,COROLLA TOURING SPORT,3-4 years old,estate,PETROLELECTRICHYBRID,automatic,BLACK,14850,57899,0.8388151748,7
KN20FWS,VOLKSWAGEN,GOLF,5-6 years old,hatchback,PETROL,semiAutomatic,WHITE,13500,71524,0.6316324047,5
MF20LXZ,SKODA,KAROQ,5-6 years old,suv,PETROL,automatic,GREY,18700,47594,0.7692253029,8
DF21LXT,AUDI,A3,3-4 years old,hatchback,PETROLPLUGINELECTRICHYBRID,semiAutomatic,BLUE,17520,52275,0.6898674611,5
YS70YFJ,FORD,FIESTA,3-4 years old,hatchback,PETROL,manual,BLUE,11650,23431,0.7268279387,5
DP18JRO,VAUXHALL,MOKKA X,7-8 years old,suv,PETROL,manual,BLACK,8500,63234,0.614980334,8
CU21HNA,FIAT,500X,3-4 years old,suv,PETROL,manual,GREY,13300,23057,0.5537664046,8
KU69YSG,MITSUBISHI,OUTLANDER,5-6 years old,suv,PETROL,semiAutomatic,BLUE,16950,33034,0.7705816722,8
YP71OWR,AUDI,A6,3-4 years old,saloon,PETROL,semiAutomatic,WHITE,19900,32369,0.8450595594,5
MK18LND,MAZDA,MAZDA3,7-8 years old,saloon,PETROL,manual,BLUE,10750,49170,0.3201965534,5
